"Table 12. Phosphate used on corn, rate per fertilized acre receiving phosphate fertilizer, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Pounds/acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,39,42,46,48,42,53,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,NA,NA,NA,NA,NA,NA,NA,64,80,81,56,47,50,42,64,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,38,40,41,NA,47,NA,35,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,35
Delaware,NA,NA,NA,NA,NA,NA,NA,77,66,74,71,66,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,NA,NA,42,44,52,48,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,43,43,49,49,53,50,51,50,52,52,49,47,51,61,56,54,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,53,NA,NA,NA,70,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,44,56,69,67,77,75,92,67,74,70,75,67,78,83,85,88,83,90,85,81,87,80,79,82,87,74,81,79,77,76,75,75,85,77,72,70,80,77,87,80,NA,76,NA,NA,NA,NA,93,NA,NA,NA,93,NA,89
Indiana,50,68,74,78,80,77,92,76,75,77,74,63,84,84,75,85,77,78,69,75,72,70,75,65,71,78,75,78,66,68,74,68,64,72,61,56,72,66,70,79,NA,77,NA,NA,NA,NA,69,NA,NA,NA,74,NA,74
Iowa,39,43,52,57,64,67,67,58,60,59,62,59,62,64,66,70,68,63,66,62,63,56,57,58,57,57,58,58,57,52,58,60,60,63,61,66,55,69,58,64,NA,64,NA,NA,NA,NA,65,NA,NA,NA,68,NA,75
Kansas,28,34,39,36,41,46,47,43,45,55,52,41,59,40,38,46,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,38,NA,41,39,36,40,NA,39,NA,38,NA,NA,NA,NA,37,NA,NA,NA,42,NA,37
Kentucky,49,50,58,63,63,70,68,71,86,78,58,68,90,81,91,75,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,78,NA,85,62,82,82,NA,84,NA,77,NA,NA,NA,NA,99,NA,NA,NA,82,NA,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,NA,NA,80,71,71,68,67,74,83,85,75,78,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,48,56,51,60,70,66,77,66,72,76,57,57,63,64,71,69,67,63,65,64,65,55,58,60,61,52,52,63,52,53,49,51,47,50,43,46,46,51,NA,48,NA,45,NA,NA,NA,NA,32,NA,NA,NA,42,NA,43
Minnesota,36,45,45,55,63,60,61,60,66,64,61,58,61,56,51,60,50,53,51,48,50,45,48,49,52,49,51,50,48,50,51,51,53,49,53,47,63,48,53,48,NA,60,NA,NA,NA,NA,50,NA,NA,NA,70,NA,61
