"Table 13. Percentage of corn acreage receiving potash fertilizer, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,98,98,100,98,99,98,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,NA,NA,NA,NA,NA,NA,NA,37,14,19,26,20,34,37,29,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,16,16,21,NA,31,NA,21,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,13
Delaware,NA,NA,NA,NA,NA,NA,NA,100,95,98,92,94,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,NA,100,99,94,98,100,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,99,100,99,100,100,99,100,98,113,98,98,96,100,100,98,100,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,87,NA,NA,NA,87,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,82,86,89,89,94,90,94,87,91,88,92,89,94,97,91,91,90,94,94,94,90,88,82,85,89,85,89,85,84,81,87,84,83,87,70,81,81,82,77,78,NA,84,NA,NA,NA,NA,81,NA,NA,NA,81,NA,81
Indiana,99,99,99,99,99,97,99,98,99,93,96,96,99,96,94,93,96,94,96,89,93,84,86,84,85,87,89,86,84,79,82,82,88,82,90,88,88,84,84,83,NA,88,NA,NA,NA,NA,87,NA,NA,NA,79,NA,85
Iowa,62,71,78,78,80,83,87,84,86,80,79,82,85,89,82,88,85,88,89,85,86,83,81,82,87,83,80,77,73,77,74,76,81,75,81,75,75,62,69,65,NA,92,NA,NA,NA,NA,68,NA,NA,NA,63,NA,70
Kansas,29,43,45,46,49,47,53,49,66,42,48,47,44,34,45,32,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,29,NA,21,22,22,19,NA,30,NA,26,NA,NA,NA,NA,37,NA,NA,NA,35,NA,48
Kentucky,92,90,95,84,94,91,93,97,91,91,96,99,94,98,92,94,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,89,NA,95,50,50,79,NA,78,NA,77,NA,NA,NA,NA,88,NA,NA,NA,87,NA,87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,NA,98,97,98,96,100,96,99,100,98,96,93,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,98,95,98,98,98,99,96,97,98,97,95,99,99,98,93,99,97,100,99,98,97,89,95,93,95,90,94,90,85,88,88,85,85,94,87,91,91,74,NA,88,NA,81,NA,NA,NA,NA,83,NA,NA,NA,82,NA,71
Minnesota,69,73,81,88,95,85,91,92,86,89,86,92,94,90,90,93,91,94,90,89,91,86,85,85,87,85,86,83,84,83,83,85,86,81,87,86,76,82,78,73,NA,77,NA,NA,NA,NA,68,NA,NA,NA,80,NA,75
Mississippi,89,81,93,76,93,93,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Missouri,78,82,82,89,84,82,90,87,84,85,84,83,88,81,88,89,85,84,89,82,78,73,75,82,87,82,80,79,77,77,82,68,87,84,93,84,82,82,NA,88,NA,78,NA,NA,NA,NA,61,NA,NA,NA,83,NA,74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,18,15,26,40,49,44,46,43,50,50,49,43,42,37,37,40,35,35,38,45,49,46,37,35,36,28,34,29,29,28,24,29,39,26,21,18,22,27,21,25,NA,22,NA,NA,NA,NA,20,NA,NA,NA,29,NA,35
New York,NA,100,99,100,97,100,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,97,NA,75,NA,79,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,60
North Carolina,99,100,100,100,100,100,99,100,100,71,97,99,99,99,98,100,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,89,NA,91,88,86,91,NA,86,NA,86,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,68
North Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,27,NA,37,NA,38,NA,NA,NA,NA,53,NA,NA,NA,28,NA,59
Ohio,96,100,99,99,99,99,100,99,97,94,98,95,97,95,94,100,97,97,96,96,89,94,92,94,93,92,89,91,88,90,91,88,86,89,74,94,83,90,78,85,NA,76,NA,NA,NA,NA,83,NA,NA,NA,96,NA,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,NA,93,95,97,98,98,97,96,96,94,97,93,93,97,98,96,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,75,NA,69,NA,67,84,NA,66,NA,58,NA,NA,NA,NA,46,NA,NA,NA,42,NA,46
South Carolina,99,99,99,95,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota,1,4,7,8,9,19,28,17,20,27,24,25,31,32,26,31,35,39,32,31,30,28,31,18,30,30,33,26,29,23,32,29,39,31,25,49,39,34,NA,25,NA,37,NA,NA,NA,NA,35,NA,NA,NA,40,NA,52
Tennessee,92,92,94,97,94,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas,54,36,45,34,24,31,NA,NA,NA,NA,NA,NA,43,29,NA,43,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,43,NA,21,40,27,39,NA,37,NA,28,NA,NA,NA,NA,32,NA,NA,NA,23,NA,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,100,96,99,98,100,97,100,99,96,98,94,98,99,98,91,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,92,96,98,92,95,97,97,96,97,97,98,96,97,97,96,99,96,96,96,96,97,95,95,96,97,95,95,93,95,93,91,92,88,93,96,91,90,92,88,89,NA,84,NA,NA,NA,NA,77,NA,NA,NA,64,NA,84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. average 1/,72,77,80,82,84,82,85,82,86,80,83,82,84,82,81,82,81,84,84,83,82,79,76,75,78,75,77,73,72,71,72,70,73,72,66,67,66,65,68,64,NA,65,NA,NA,NA,NA,61,NA,NA,NA,65,NA,65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = Not available. Source data cover selected States in selected years; NA reflects State/crop/nutrient instances with no coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/  U.S. average is average of State's percents of acres receiving fertilizer, weighted by State's planted acres receiving fertilizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Taylor (1964-93), NASS' Agricultural Chemical Usage (1994-2010):  http://www.nass.usda.gov/Surveys/Guide_to_NASS_Surveys/Chemical_Use/",,,,,,,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
