"Table 14. Potash used on corn, rate per fertilized acre receiving potash, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pounds/acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,39,42,46,49,42,54,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,NA,NA,NA,NA,NA,NA,NA,33,51,43,32,23,29,37,36,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,17,32,34,NA,25,NA,19,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,16
Delaware,NA,NA,NA,NA,NA,NA,NA,93,74,101,95,84,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,NA,NA,58,54,71,69,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,52,56,67,71,73,74,74,72,74,75,75,68,75,99,98,89,87,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,79,NA,NA,NA,104,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,130
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,40,50,68,70,76,78,92,64,80,83,85,78,92,99,99,109,111,109,112,111,117,114,105,110,109,101,107,104,105,106,103,106,116,107,106,115,111,115,119,110,NA,114,NA,NA,NA,NA,106,NA,NA,NA,111,NA,110
Indiana,57,80,92,91,98,90,101,94,109,105,97,88,105,103,100,109,122,106,106,107,104,115,113,107,113,110,111,112,107,114,112,107,110,107,118,116,129,121,125,138,NA,124,NA,NA,NA,NA,119,NA,NA,NA,114,NA,109
Iowa,26,31,38,45,54,58,63,52,56,55,64,62,67,73,73,75,74,73,75,76,80,73,66,73,78,69,74,68,69,63,71,72,76,73,79,81,69,84,71,83,NA,84,NA,NA,NA,NA,80,NA,NA,NA,82,NA,97
Kansas,15,19,20,22,17,24,28,23,24,29,31,21,44,27,31,29,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,38,NA,34,30,28,40,NA,39,NA,37,NA,NA,NA,NA,40,NA,NA,NA,43,NA,25
Kentucky,49,52,56,62,64,74,70,71,81,80,61,72,93,89,92,83,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,78,NA,113,98,87,99,NA,83,NA,90,NA,NA,NA,NA,106,NA,NA,NA,91,NA,93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,NA,NA,82,79,86,78,74,87,96,94,87,84,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,42,48,51,71,70,87,73,81,69,76,73,70,74,79,90,85,90,83,92,94,108,104,90,104,103,105,95,95,87,83,90,104,101,108,89,87,84,91,NA,100,NA,82,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,82
Minnesota,30,36,41,46,61,60,70,61,60,73,69,61,68,77,63,73,76,76,69,66,68,65,62,65,65,63,69,63,64,67,65,65,65,54,71,51,70,59,61,67,NA,71,NA,NA,NA,NA,63,NA,NA,NA,88,NA,78
