"Table 15. Percentage of cotton acreage receiving nitrogen fertilizer, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,99,100,100,100,100,100,100,99,100,99,100,100,98,99,100,100,100,99,100,100,98,98,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,99,97,100,NA,NA,97,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,99
Arizona,94,92,96,89,95,97,90,91,82,88,97,82,88,92,89,93,90,92,94,90,98,95,93,95,90,95,94,99,94,98,99,95,98,99,98,99,98,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98
Arkansas,97,99,97,98,99,96,95,98,99,97,98,98,97,95,93,98,98,97,97,97,97,100,99,99,99,94,99,96,98,96,93,97,97,92,98,97,100,93,NA,97,NA,NA,NA,98,NA,NA,98,NA,NA,NA,NA,100
California,95,96,94,91,94,93,92,90,92,88,84,86,94,95,96,94,95,97,95,95,91,87,92,93,93,97,94,95,97,98,96,99,96,96,98,99,98,NA,NA,94,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,94
Georgia,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,86,93,100,100,100,100,100,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,95,96,100,96,99,NA,100,NA,NA,NA,98,NA,NA,95,NA,NA,NA,NA,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,97,93,90,91,92,97,95,98,98,91,98,98,98,98,99,100,96,98,98,100,99,100,100,100,94,100,99,90,98,86,92,88,91,98,99,100,100,95,NA,99,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,99,100,98,97,100,100,99,100,100,100,100,100,100,99,99,100,99,99,100,99,98,98,96,100,98,100,99,100,100,95,100,100,98,100,97,100,100,99,NA,99,NA,NA,NA,100,NA,NA,95,NA,NA,NA,NA,96
Missouri,100,99,94,99,93,94,90,99,100,88,97,96,90,96,91,96,100,92,100,100,100,98,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,100,NA,NA,100,NA,NA,NA,98,NA,NA,100,NA,NA,NA,NA,100
New Mexico,63,71,52,67,67,57,61,56,61,64,52,45,56,NA,NA,70,40,65,47,54,66,59,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,100,100,98,100,100,99,100,100,100,98,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,98,96,96,NA,NA,97,NA,NA,NA,92,NA,NA,98,NA,NA,NA,NA,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,51,55,50,51,41,53,50,44,46,50,47,29,61,60,61,55,67,43,43,57,66,59,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,100,100,100,100,100,99,100,99,99,100,100,99,100,100,NA,100,100,100,100,100,98,100,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,95,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,99
Tennessee,98,100,92,97,99,100,96,99,95,100,100,100,91,96,97,99,100,NA,97,100,100,99,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,99,100,99,NA,NA,97,NA,NA,NA,100,NA,NA,100,NA,NA,NA,NA,100
Texas,50,55,51,47,45,48,48,50,51,53,55,32,49,59,41,53,50,60,39,41,55,57,56,57,68,63,66,70,65,77,78,79,55,82,68,71,63,52,NA,61,NA,NA,NA,86,NA,NA,85,NA,NA,NA,NA,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. average 1/,77,79,76,72,73,75,72,74,77,74,79,65,75,78,69,71,71,75,71,68,76,76,80,76,80,79,79,81,80,85,86,87,77,90,84,86,83,76,NA,82,NA,NA,NA,91,NA,NA,90,NA,NA,NA,NA,78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = Not available. Source data cover selected States in selected years; NA reflects State/crop/nutrient instances with no coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/  U.S. average is average of State's percents of acres receiving fertilizer, weighted by State's planted acres receiving fertilizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Taylor (1964-93), NASS' Agricultural Chemical Usage (1994-2010):  http://www.nass.usda.gov/Surveys/Guide_to_NASS_Surveys/Chemical_Use/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
