"Table 16. Nitrogen used on cotton, rate per fertilized acre receiving nitrogen, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pounds/acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,72,81,83,78,71,80,78,84,89,82,100,74,72,74,66,70,73,73,101,79,78,88,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,78,84,103,NA,NA,102,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,91
Arizona,130,131,141,141,142,145,135,123,117,120,123,117,155,148,135,142,161,159,126,113,150,157,122,159,144,178,155,170,132,149,223,194,148,130,141,149,129,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120
Arkansas,68,72,70,68,63,65,67,63,62,69,68,57,65,66,64,62,59,64,67,69,75,70,84,81,79,80,85,86,88,103,110,101,97,77,91,93,88,80,NA,94,NA,NA,NA,111,NA,NA,108,NA,NA,NA,NA,129
California,111,150,138,145,157,135,129,124,121,125,104,137,146,142,120,106,108,110,117,117,116,118,104,115,124,123,140,138,131,139,188,167,175,145,128,154,139,NA,NA,141,NA,NA,NA,123,NA,NA,NA,NA,NA,NA,NA,97
Georgia,80,86,104,102,97,105,92,94,82,95,119,130,92,109,78,69,80,63,79,72,69,78,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,92,91,87,87,79,NA,96,NA,NA,NA,90,NA,NA,95,NA,NA,NA,NA,90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,54,56,69,69,76,63,81,69,73,71,69,69,72,70,78,68,69,73,74,69,81,80,95,74,88,86,77,100,78,85,157,117,74,79,90,85,86,86,NA,87,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,77,104,98,98,91,93,96,93,92,90,103,92,90,98,92,87,92,91,94,98,103,104,102,106,110,103,109,109,112,111,122,112,100,109,107,111,114,112,NA,109,NA,NA,NA,117,NA,NA,100,NA,NA,NA,NA,107
Missouri,85,64,71,50,54,56,57,55,63,47,60,56,36,49,44,52,55,47,54,44,70,56,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,101,NA,NA,89,NA,NA,NA,97,NA,NA,130,NA,NA,NA,NA,96
New Mexico,85,81,73,67,83,92,72,70,69,60,49,54,59,NA,NA,61,64,58,64,88,71,58,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,65,90,63,69,74,62,67,53,66,86,70,84,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,87,78,85,NA,NA,76,NA,NA,NA,68,NA,NA,66,NA,NA,NA,NA,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,28,30,28,19,28,27,25,31,32,34,21,28,34,27,34,32,32,50,34,45,53,34,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,68,78,101,91,101,88,80,88,95,99,101,109,92,125,NA,84,78,81,84,107,95,92,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,77,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,86
Tennessee,67,71,85,61,51,67,61,72,69,67,66,69,71,68,74,76,73,NA,67,91,82,78,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,92,95,90,84,NA,NA,92,NA,NA,NA,102,NA,NA,95,NA,NA,NA,NA,111
Texas,59,62,62,55,51,61,57,57,53,46,48,39,52,45,50,45,43,44,41,52,47,49,45,51,45,48,59,69,66,64,71,62,80,63,62,64,68,63,NA,76,NA,NA,NA,82,NA,NA,63,NA,NA,NA,NA,65
