"Table 17. Percentage of cotton acreage receiving phosphate fertilizer, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,100,100,100,100,99,98,100,100,98,95,99,92,93,91,95,84,93,97,93,86,91,88,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,94,94,95,NA,NA,84,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,78
Arizona,50,42,45,47,46,39,36,46,49,53,51,34,47,58,38,46,34,36,35,45,48,51,39,39,58,51,47,62,43,44,45,34,43,29,38,22,30,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
Arkansas,59,72,77,79,66,68,60,64,72,70,72,67,74,75,62,78,76,59,68,68,80,76,68,75,71,70,83,70,64,76,70,74,66,83,88,82,78,63,NA,84,NA,NA,NA,83,NA,NA,83,NA,NA,NA,NA,79
California,48,37,26,42,47,42,41,41,43,45,38,30,47,47,39,31,27,36,30,33,27,23,16,26,36,42,31,35,32,33,35,40,37,25,23,51,29,NA,NA,47,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,28
Georgia,99,99,100,100,100,100,100,100,100,100,98,100,100,100,100,96,98,93,90,91,93,93,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,94,90,98,94,92,NA,90,NA,NA,NA,91,NA,NA,86,NA,NA,NA,NA,82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,62,63,58,61,48,62,57,69,70,60,59,50,63,63,81,65,92,80,73,62,77,70,72,68,59,70,62,46,57,51,40,42,64,71,69,43,64,50,NA,45,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,59,56,71,58,63,59,42,41,48,49,45,47,40,43,36,32,33,41,41,45,44,42,39,48,50,54,42,52,41,43,45,40,27,46,51,36,44,31,NA,45,NA,NA,NA,33,NA,NA,32,NA,NA,NA,NA,44
Missouri,95,96,96,94,92,91,84,84,91,94,85,84,91,83,88,96,78,75,83,100,100,68,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,86,NA,NA,73,NA,NA,NA,88,NA,NA,81,NA,NA,NA,NA,74
New Mexico,58,45,44,57,62,48,50,42,63,38,48,32,38,NA,NA,51,28,42,30,30,34,47,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,100,100,95,100,100,90,100,98,100,95,100,91,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,90,89,80,NA,NA,74,NA,NA,NA,71,NA,NA,68,NA,NA,NA,NA,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,49,48,45,45,38,50,43,38,42,45,43,29,55,58,61,51,58,34,19,52,42,32,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,100,100,100,100,100,97,100,97,97,99,94,91,100,94,NA,87,97,83,83,83,87,83,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,78,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,73
Tennessee,97,92,89,91,89,97,96,93,94,100,96,98,91,92,95,99,94,NA,97,100,100,97,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,100,99,93,NA,NA,92,NA,NA,NA,95,NA,NA,96,NA,NA,NA,NA,96
Texas,38,40,40,39,37,34,30,30,36,41,47,23,40,45,28,45,43,53,28,31,39,47,44,46,56,53,48,53,48,58,60,63,47,62,56,45,54,37,NA,50,NA,NA,NA,60,NA,NA,52,NA,NA,NA,NA,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. average 1/,58,59,59,56,56,54,48,50,55,55,58,43,53,51,45,48,48,52,41,44,48,50,50,44,54,54,49,52,48,54,54,56,55,67,66,59,63,48,NA,62,NA,NA,NA,67,NA,NA,62,NA,NA,NA,NA,56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = Not available. Source data cover selected States in selected years; NA reflects State/crop/nutrient instances with no coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/  U.S. average is average of State's percents of acres receiving fertilizer, weighted by State's planted acres receiving fertilizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Taylor (1964-93), NASS' Agricultural Chemical Usage (1994-2010):  http://www.nass.usda.gov/Surveys/Guide_to_NASS_Surveys/Chemical_Use/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
