"Table 18. Phosphate used on cotton, rate per fertilized acre receiving phosphate, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pounds/acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,62,63,69,71,71,70,74,71,73,77,76,57,71,72,64,63,63,57,65,62,60,62,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,59,69,63,NA,NA,70,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,53
Arizona,66,78,69,62,68,70,59,62,57,66,58,49,62,59,53,61,72,67,59,43,59,55,47,70,59,64,68,66,45,68,53,65,49,55,63,84,57,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
Arkansas,39,46,44,41,45,46,43,40,44,45,40,40,41,48,42,37,39,40,36,34,38,37,39,43,44,35,36,40,44,48,44,45,38,54,42,40,41,36,NA,41,NA,NA,NA,41,NA,NA,42,NA,NA,NA,NA,47
California,62,81,72,99,88,91,60,73,70,84,59,74,78,75,81,65,61,73,61,52,61,56,62,60,45,56,68,87,86,51,60,63,83,60,75,61,57,NA,NA,55,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,31
Georgia,64,65,66,64,62,65,59,61,60,65,65,53,61,67,60,47,50,48,53,53,51,62,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,60,58,57,55,52,NA,56,NA,NA,NA,60,NA,NA,59,NA,NA,NA,NA,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,34,40,48,49,43,46,50,50,54,59,54,45,52,51,48,49,48,46,47,42,52,48,43,47,51,45,48,55,44,45,45,47,45,51,42,55,44,42,NA,37,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,50,58,54,56,52,56,60,55,64,64,64,59,53,57,54,61,50,45,54,50,57,56,54,52,49,49,50,50,57,57,54,54,47,50,57,50,52,51,NA,46,NA,NA,NA,58,NA,NA,47,NA,NA,NA,NA,116
Missouri,58,46,57,53,48,49,42,45,51,54,51,43,47,39,48,50,45,37,31,39,31,35,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,34,NA,NA,40,NA,NA,NA,31,NA,NA,48,NA,NA,NA,NA,35
New Mexico,60,79,64,70,74,77,85,50,69,64,57,58,59,NA,NA,54,51,50,57,49,64,48,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,54,54,53,65,54,54,55,53,57,68,56,52,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,55,47,47,NA,NA,41,NA,NA,NA,31,NA,NA,46,NA,NA,NA,NA,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,28,27,33,23,28,37,27,36,38,33,30,29,31,38,39,43,30,46,29,36,42,34,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,76,81,85,85,89,84,71,78,77,72,69,66,63,65,NA,51,60,42,44,42,47,51,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,46,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,39
Tennessee,53,57,64,61,58,57,62,63,61,69,60,52,59,67,69,74,64,NA,62,65,62,61,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,56,63,54,56,NA,NA,53,NA,NA,NA,51,NA,NA,51,NA,NA,NA,NA,66
Texas,46,44,45,43,44,46,45,42,44,45,43,39,43,47,42,45,39,40,30,40,39,39,35,37,38,37,40,41,44,43,38,38,39,37,38,41,40,38,NA,50,NA,NA,NA,37,NA,NA,32,NA,NA,NA,NA,34
