"Table 19. Percentage of cotton acreage receiving potash fertilizer, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,99,100,100,100,99,98,100,99,98,97,99,98,98,97,95,84,93,91,93,89,88,80,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,94,95,91,NA,NA,83,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,79
Arizona,2,2,1,1,1,2,4,3,4,2,2,2,1,1,1,3,2,2,3,11,4,9,7,NA,7,3,8,18,9,10,22,NA,11,4,13,15,8,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
Arkansas,65,73,76,79,61,68,63,65,70,69,75,72,77,78,74,83,85,62,72,70,82,77,81,79,75,71,87,73,74,74,81,85,71,91,88,85,84,68,NA,90,NA,NA,NA,85,NA,NA,86,NA,NA,NA,NA,80
California,8,NA,4,6,6,1,9,6,12,9,10,1,7,10,8,5,3,5,4,6,2,3,2,NA,16,13,3,10,5,6,24,21,16,26,13,19,12,NA,NA,25,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,33
Georgia,100,99,100,100,100,98,100,100,98,100,100,100,98,100,100,99,98,85,100,100,98,100,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,99,92,100,93,93,NA,91,NA,NA,NA,91,NA,NA,91,NA,NA,NA,NA,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,69,64,58,62,51,64,56,69,70,60,59,50,63,61,81,65,92,80,72,70,77,76,73,71,65,72,62,43,59,52,40,48,67,76,73,45,66,52,NA,59,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,59,54,72,58,62,59,42,43,47,50,46,48,40,44,38,33,34,48,41,50,46,44,49,60,56,61,56,68,73,68,66,60,56,77,67,65,68,46,NA,70,NA,NA,NA,54,NA,NA,53,NA,NA,NA,NA,65
Missouri,95,96,96,94,92,91,84,87,91,97,89,87,91,88,94,100,100,85,83,100,100,98,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,95,NA,NA,81,NA,NA,NA,95,NA,NA,93,NA,NA,NA,NA,92
New Mexico,NA,5,9,9,13,NA,6,11,9,5,16,13,8,NA,NA,14,2,12,8,9,14,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,100,100,98,100,100,90,100,100,100,98,100,98,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,93,96,91,NA,NA,93,NA,NA,NA,89,NA,NA,87,NA,NA,NA,NA,89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,33,40,40,41,35,42,33,37,35,35,41,16,40,26,35,34,28,15,15,26,4,3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,100,100,100,100,100,97,100,99,99,99,99,100,100,99,NA,100,92,97,86,100,98,98,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,90,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,96
Tennessee,98,93,90,92,90,97,96,93,95,100,98,99,91,92,95,99,94,NA,97,100,100,94,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,100,100,98,NA,NA,96,NA,NA,NA,100,NA,NA,99,NA,NA,NA,NA,49
Texas,10,11,14,12,18,14,13,12,11,15,24,9,13,15,9,17,18,21,13,14,18,22,18,23,22,22,20,25,27,26,25,32,20,29,27,23,26,14,NA,20,NA,NA,NA,24,NA,NA,30,NA,NA,NA,NA,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. average 1/,43,44,45,40,43,39,36,39,41,39,46,33,37,31,31,27,30,30,30,30,32,34,39,33,32,32,31,34,37,36,37,40,43,58,53,52,53,41,NA,52,NA,NA,NA,52,NA,NA,52,NA,NA,NA,NA,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = Not available. Source data cover selected States in selected years; NA reflects State/crop/nutrient instances with no coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/  U.S. average is average of State's percents of acres receiving fertilizer, weighted by State's planted acres receiving fertilizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Taylor (1964-93), NASS' Agricultural Chemical Usage (1994-2010):  http://www.nass.usda.gov/Surveys/Guide_to_NASS_Surveys/Chemical_Use/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
