"Table 20. Potash used on cotton, rate per fertilized acre receiving potash, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pounds/acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,63,66,70,73,73,71,77,73,77,83,75,66,80,85,69,68,70,68,72,72,70,73,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,76,84,87,NA,NA,77,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,95
Arizona,NA,8,15,40,36,12,16,41,39,34,27,22,16,37,26,55,9,7,34,14,29,6,12,NA,14,NA,NA,10,24,5,10,NA,44,46,9,18,39,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
Arkansas,48,51,51,47,55,54,53,50,54,50,46,46,55,60,50,51,53,58,48,46,53,51,65,63,58,62,57,61,66,76,73,75,70,67,76,77,82,73,NA,91,NA,NA,NA,87,NA,NA,74,NA,NA,NA,NA,86
California,26,NA,16,74,46,31,24,37,49,50,22,43,70,50,67,44,75,84,39,38,87,112,24,NA,39,14,40,38,42,NA,39,72,58,72,83,97,58,NA,NA,84,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,48
Georgia,89,89,104,95,94,92,85,90,91,102,103,84,88,110,93,79,77,83,89,73,88,86,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,93,97,109,84,85,NA,90,NA,NA,NA,87,NA,NA,105,NA,NA,NA,NA,96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,35,41,48,50,46,47,50,53,56,60,51,45,52,49,49,53,52,51,53,58,59,64,48,55,58,55,62,79,75,66,59,73,67,70,76,68,70,77,NA,52,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,50,55,55,57,53,57,61,63,65,65,64,66,54,57,59,63,55,59,65,63,68,59,63,71,59,65,78,76,98,94,101,86,100,95,99,109,97,98,NA,106,NA,NA,NA,106,NA,NA,91,NA,NA,NA,NA,116
Missouri,59,49,61,56,52,57,44,50,56,77,73,56,57,62,51,52,75,67,80,68,66,62,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,88,NA,NA,80,NA,NA,NA,68,NA,NA,87,NA,NA,NA,NA,62
New Mexico,NA,28,23,40,41,NA,17,12,31,18,26,18,22,NA,NA,15,10,19,37,1,6,14,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,69,69,68,80,75,70,75,70,84,92,90,82,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,108,107,116,NA,NA,106,NA,NA,NA,99,NA,NA,96,NA,NA,NA,NA,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,14,14,19,13,14,17,13,15,26,17,15,16,14,15,15,23,15,24,23,18,12,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,88,89,90,89,101,98,90,96,102,102,108,99,113,110,NA,102,97,97,84,102,103,90,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,109,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,105
Tennessee,56,62,66,63,59,60,64,63,64,69,61,58,64,69,74,79,74,NA,68,71,68,67,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,88,91,89,90,NA,NA,86,NA,NA,NA,88,NA,NA,87,NA,NA,NA,NA,91
Texas,16,18,18,20,18,21,21,17,19,14,17,12,16,14,16,16,14,20,20,22,15,21,13,14,13,12,17,23,20,21,20,15,21,16,19,18,19,19,NA,25,NA,NA,NA,17,NA,NA,15,NA,NA,NA,NA,14
