"Table 21. Percentage of soybean acreage receiving nitrogen fertilizer, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,77,66,68,57,49,51,34,34,44,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,2,3,5,8,12,15,14,6,14,14,20,10,13,18,16,16,11,13,12,13,14,6,7,8,10,11,13,11,12,14,15,16,9,6,5,17,10,3,7,NA,10,NA,3,NA,NA,NA,NA,NA,7,NA,NA,NA
Delaware,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,74,71,58,69,46,59,51,54,58,51,49,67,58,55,40,55,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,5,6,10,9,8,6,9,12,11,16,12,9,12,16,10,11,8,9,5,13,9,8,9,9,9,10,16,13,10,12,10,17,15,11,7,7,11,10,18,NA,14,NA,11,NA,NA,NA,NA,NA,19,NA,NA,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,23,33,36,46,43,40,52,46,42,54,49,46,48,46,41,51,39,40,25,31,35,23,16,30,31,20,22,19,21,19,17,16,23,16,15,28,7,12,18,NA,15,NA,16,NA,NA,NA,NA,NA,18,NA,NA,35
Iowa,3,8,15,11,17,6,8,7,9,10,7,8,7,11,10,7,6,5,5,8,14,9,6,10,9,9,10,9,10,8,7,10,8,16,10,7,15,5,3,NA,10,NA,7,NA,NA,NA,NA,NA,13,NA,NA,15
Kansas,12,4,6,21,16,16,19,9,14,19,12,6,8,21,12,16,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,11,11,NA,NA,NA,20,16,22,18,NA,24,NA,22,NA,21,NA,NA,NA,NA,NA,29,NA,NA,36
Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,54,57,60,NA,NA,NA,NA,25,42,28,34,35,36,36,37,27,NA,41,NA,32,35,17,13,NA,21,NA,NA,NA,28,NA,NA,NA,NA,NA,24,NA,NA,37
Louisiana,NA,NA,NA,20,16,14,12,14,14,19,17,9,14,12,19,19,7,12,9,11,8,7,3,7,9,8,15,3,4,2,NA,5,4,13,3,5,6,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,6,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,72,31,37,NA,44,NA,NA,NA,28,NA,NA,NA,NA,NA,44,NA,NA,36
Minnesota,2,11,10,10,19,18,17,8,13,23,18,11,7,6,12,13,7,10,10,19,20,12,10,9,16,16,12,12,15,11,12,15,10,16,18,13,8,13,11,NA,19,NA,16,NA,NA,NA,NA,NA,27,NA,NA,19
Mississippi,2,1,8,16,14,14,13,17,15,12,17,11,26,17,21,14,13,15,13,12,17,5,8,10,9,10,13,10,8,10,NA,6,11,16,5,10,9,,12,NA,NA,NA,6,NA,NA,NA,NA,NA,14,NA,NA,8
Missouri,6,9,17,20,17,15,15,14,23,19,12,8,9,8,23,14,17,11,15,11,7,0,8,12,12,11,8,16,10,12,11,13,23,15,24,15,20,6,13,NA,20,NA,12,NA,NA,NA,NA,NA,24,NA,NA,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,6,5,35,22,22,15,18,9,16,23,7,9,7,11,11,14,20,17,21,18,17,28,15,12,14,24,15,19,20,18,25,20,28,31,22,25,30,22,31,NA,25,NA,32,NA,NA,NA,NA,NA,42,NA,NA,36
North Carolina,NA,NA,58,50,59,57,49,62,65,62,57,57,49,49,63,61,60,60,44,57,46,46,46,48,54,54,50,47,54,54,NA,44,NA,52,36,54,38,NA,36,NA,NA,NA,39,NA,NA,NA,NA,NA,50,NA,NA,53
North Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,64,NA,43,NA,NA,NA,NA,NA,51,NA,NA,48
Ohio,18,19,27,37,28,38,42,37,47,42,47,42,36,41,33,46,38,28,24,23,22,35,23,21,20,21,20,21,15,14,20,23,20,16,19,21,25,17,20,NA,20,NA,19,NA,NA,NA,NA,NA,25,NA,NA,32
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,37,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,NA,NA,52,44,62,66,65,61,65,63,60,53,52,61,NA,45,43,44,40,32,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,15,15,NA,NA,NA,35,32,47,38,NA,37,NA,42,NA,29,NA,NA,NA,NA,NA,43,NA,NA,41
Tennessee,NA,NA,32,35,42,34,38,35,42,45,38,32,47,48,56,44,51,43,33,38,40,33,22,20,30,22,35,27,27,28,NA,19,27,29,19,34,18,NA,42,NA,NA,NA,42,NA,NA,NA,NA,NA,48,NA,NA,48
Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,32,NA,NA,NA,NA,NA,53,NA,NA,58
Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,24,NA,40,NA,NA,NA,31,NA,NA,NA,NA,NA,45,NA,NA,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. average 1/,7,11,18,21,21,19,21,19,22,24,22,18,20,24,25,26,23,21,17,20,20,17,18,15,16,17,17,16,15,14,13,17,15,20,17,18,18,NA,20,NA,21,NA,18,NA,NA,NA,NA,NA,27,NA,NA,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = Not available. Source data cover selected States in selected years; NA reflects State/crop/nutrient instances with no coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/  U.S. average is average of State's percents of acres receiving fertilizer, weighted by State's planted acres receiving fertilizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Taylor (1964-93), NASS' Agricultural Chemical Usage (1994-2012).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
