"Table 22. Nitrogen used on soybeans, rate per fertilized acre receiving nitrogen, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pounds/acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,24,21,22,22,19,22,21,14,21,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,40,19,28,24,11,13,15,12,14,11,16,18,19,28,16,17,16,17,17,15,21,24,14,18,28,16,38,22,31,42,34,46,26,47,50,29,61,34,24,NA,31,NA,11,NA,NA,NA,NA,NA,37,NA,NA,NA
Delaware,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,22,21,20,20,35,16,14,17,20,15,20,19,26,18,16,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,8,8,18,17,14,9,25,30,12,19,11,11,12,16,14,15,20,18,20,17,31,16,14,39,20,17,25,21,20,24,33,24,22,11,24,20,15,40,20,NA,36,NA,16,NA,NA,NA,NA,NA,26,NA,NA,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,6,8,9,7,11,9,8,11,11,9,10,9,10,11,11,11,11,12,11,9,10,14,11,14,18,12,16,15,12,12,19,21,31,48,29,21,29,17,17,NA,38,NA,17,NA,NA,NA,NA,NA,15,NA,NA,18
Iowa,4,17,6,12,10,8,11,10,11,10,9,9,12,14,11,11,18,20,32,14,23,10,14,13,24,16,34,45,24,15,27,28,26,18,19,30,49,17,26,NA,39,NA,14,NA,NA,NA,NA,NA,16,NA,NA,21
Kansas,9,5,19,22,11,21,18,23,44,21,55,43,32,30,26,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,33,45,NA,NA,NA,24,19,23,20,NA,18,NA,36,NA,16,NA,NA,NA,NA,NA,13,NA,NA,15
Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,18,18,NA,NA,NA,NA,21,27,23,39,24,40,52,44,21,NA,32,NA,55,40,23,49,NA,35,NA,NA,NA,38,NA,NA,NA,NA,NA,14,NA,NA,26
Louisiana,NA,NA,NA,14,10,12,13,17,15,20,19,14,14,12,15,18,19,26,17,13,13,21,17,15,18,24,23,33,20,NA,NA,33,14,31,13,25,29,NA,11,NA,NA,NA,13,NA,NA,NA,NA,NA,13,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,16,14,NA,27,NA,NA,NA,11,NA,NA,NA,NA,NA,13,NA,NA,14
Minnesota,15,8,9,6,10,8,17,10,20,12,15,42,21,10,16,16,13,30,13,16,18,26,13,17,21,16,16,39,28,17,19,19,15,14,23,20,17,16,20,NA,30,NA,13,NA,NA,NA,NA,NA,13,NA,NA,14
