"Table 23. Percentage of soybean acreage receiving phosphate fertilizer, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,92,81,86,66,60,77,74,65,68,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,14,19,23,23,26,28,35,33,35,27,31,26,29,35,35,35,31,32,21,26,26,21,15,22,21,27,24,26,31,33,31,28,45,29,29,43,30,30,36,NA,38,NA,34,NA,NA,NA,NA,NA,49,NA,NA,59
Delaware,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,87,86,72,75,55,76,63,61,77,72,76,77,72,63,54,63,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,6,10,17,13,10,11,12,17,18,27,15,15,23,23,18,20,19,17,14,23,17,17,17,20,25,23,27,22,19,20,20,26,23,23,12,14,16,12,25,NA,18,NA,16,NA,NA,NA,NA,NA,23,NA,NA,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,37,41,48,55,51,52,57,50,47,62,54,51,54,54,56,61,49,47,34,38,48,38,31,41,41,31,33,28,31,29,28,21,33,22,26,36,15,20,24,NA,25,NA,20,NA,NA,NA,NA,NA,30,NA,NA,39
Iowa,6,9,18,15,22,12,13,11,13,16,11,11,9,15,13,12,8,9,8,12,16,12,8,15,10,16,11,9,12,11,12,11,12,23,13,17,22,9,7,NA,11,NA,12,NA,NA,NA,NA,NA,26,NA,NA,30
Kansas,8,4,6,21,13,14,18,4,11,19,10,2,10,17,10,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,9,7,NA,NA,NA,18,21,22,16,NA,25,NA,25,NA,25,NA,NA,NA,NA,NA,31,NA,NA,36
Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,67,68,74,NA,NA,NA,NA,46,59,46,50,54,49,53,44,35,NA,46,NA,42,58,25,40,NA,37,NA,NA,NA,40,NA,NA,NA,NA,NA,44,NA,NA,54
Louisiana,NA,NA,NA,22,21,23,24,27,28,28,20,23,21,26,34,33,37,49,32,28,32,32,23,17,30,36,30,8,17,12,NA,16,36,23,25,14,20,NA,18,NA,NA,NA,13,NA,NA,NA,NA,NA,22,NA,NA,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,73,45,40,NA,34,NA,NA,NA,28,NA,NA,NA,NA,NA,43,NA,NA,NA
Minnesota,4,13,12,14,25,20,22,10,11,25,21,10,10,9,14,21,11,11,11,21,24,14,9,11,20,17,12,10,16,11,13,15,14,20,17,13,9,13,12,NA,18,NA,18,NA,NA,NA,NA,NA,30,NA,NA,27
Mississippi,3,6,17,24,28,26,25,30,33,19,34,29,40,39,41,38,34,42,35,29,40,32,19,23,18,34,19,18,17,20,NA,16,18,23,10,15,19,NA,20,NA,NA,NA,14,NA,NA,NA,NA,NA,13,NA,NA,26
Missouri,6,11,18,20,17,16,16,17,27,23,13,11,9,15,28,25,26,19,23,16,10,21,19,20,21,20,14,19,20,19,18,20,25,28,47,23,28,24,29,NA,35,NA,19,NA,NA,NA,NA,NA,45,NA,NA,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,12,10,30,25,16,13,20,9,22,19,6,7,7,11,9,17,20,15,23,19,15,25,18,10,11,28,12,17,18,12,25,16,50,31,19,25,20,21,36,NA,28,NA,32,NA,NA,NA,NA,NA,52,NA,NA,45
North Carolina,NA,NA,69,63,65,70,56,70,67,67,60,62,58,55,73,72,66,60,50,63,54,55,52,51,63,55,61,51,63,56,NA,42,NA,67,34,71,62,NA,36,NA,NA,NA,42,NA,NA,NA,NA,NA,44,NA,NA,49
North Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,59,NA,63,NA,42,NA,NA,NA,NA,NA,61,NA,NA,51
Ohio,23,26,33,42,33,46,45,42,53,48,53,46,49,52,38,56,48,39,35,34,39,48,41,40,35,37,29,34,29,31,32,29,24,26,29,35,32,30,27,NA,24,NA,20,NA,NA,NA,NA,NA,31,NA,NA,34
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,NA,NA,72,66,79,81,84,80,84,82,78,77,74,78,NA,85,78,84,54,65,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,15,18,NA,NA,NA,34,32,47,43,NA,41,NA,45,NA,31,NA,NA,NA,NA,NA,43,NA,NA,49
Tennessee,NA,NA,46,42,45,48,51,49,54,59,58,52,67,62,84,66,73,66,63,65,61,59,47,43,52,45,50,51,53,41,NA,36,43,48,36,46,29,NA,47,NA,NA,NA,48,NA,NA,NA,NA,NA,68,NA,NA,66
Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,64
Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,30,NA,35,NA,NA,NA,33,NA,NA,NA,NA,NA,50,NA,NA,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. average 1/,12,16,26,27,27,26,27,27,29,32,28,25,28,33,35,38,35,33,27,30,30,28,29,25,26,28,24,22,22,21,20,22,25,28,24,26,24,NA,26,NA,26,NA,23,NA,NA,NA,NA,NA,37,NA,NA,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = Not available. Source data cover selected States in selected years; NA reflects State/crop/nutrient instances with no coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/  U.S. average is average of State's percents of acres receiving fertilizer, weighted by State's planted acres receiving fertilizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Taylor (1964-93), NASS' Agricultural Chemical Usage (1994-2012).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
