"Table 24. Phosphate used on soybeans, rate per fertilized acre receiving phosphate, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pounds/acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,59,52,50,45,49,54,48,53,48,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,32,35,35,41,39,38,39,39,42,37,44,46,36,40,41,38,43,38,38,38,40,36,39,44,45,37,53,40,48,46,49,50,48,58,63,52,43,49,55,NA,55,NA,57,NA,NA,NA,NA,NA,54,NA,NA,60
Delaware,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,42,48,43,41,38,47,35,37,37,38,36,40,40,45,43,35,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,24,32,56,51,57,54,36,41,48,55,44,43,49,47,50,57,73,63,66,63,62,61,45,57,67,54,58,60,53,57,62,74,56,71,60,45,47,75,54,NA,103,NA,58,NA,NA,NA,NA,NA,70,NA,NA,69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,22,28,25,25,28,42,31,29,41,37,38,32,34,37,39,38,44,36,39,35,41,40,49,46,40,48,41,41,39,45,37,45,45,54,48,53,65,52,48,NA,88,NA,47,NA,NA,NA,NA,NA,54,NA,NA,54
Iowa,37,30,21,30,39,53,44,34,36,42,33,27,33,39,33,36,42,54,54,46,52,34,51,45,33,50,40,51,57,51,43,41,49,53,47,55,47,48,70,NA,90,NA,54,NA,NA,NA,NA,NA,55,NA,NA,54
Kansas,16,20,58,29,29,33,36,42,46,32,29,46,43,39,30,30,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,46,35,NA,NA,NA,33,31,30,36,NA,43,NA,48,NA,41,NA,NA,NA,NA,NA,35,NA,NA,32
Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,52,60,51,NA,NA,NA,NA,57,63,61,69,63,72,63,74,56,NA,60,NA,68,83,61,66,NA,64,NA,NA,NA,64,NA,NA,NA,NA,NA,53,NA,NA,60
Louisiana,NA,NA,NA,51,41,48,56,63,54,58,54,60,52,57,51,52,53,55,47,47,50,54,45,51,41,41,45,39,42,42,NA,42,43,43,40,52,38,NA,40,NA,NA,NA,44,NA,NA,NA,NA,NA,41,NA,NA,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,39,32,53,NA,46,NA,NA,NA,35,NA,NA,NA,NA,NA,36,NA,NA,41
Minnesota,37,21,20,24,30,27,35,25,44,31,26,44,31,34,27,36,29,31,30,38,38,34,20,26,57,34,34,41,42,35,39,50,47,41,33,33,35,34,38,NA,60,NA,40,NA,NA,NA,NA,NA,38,NA,NA,50
