"Table 25. Percentage of soybean acreage receiving potash fertilizer, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,93,84,83,69,65,77,73,64,59,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,12,21,21,22,24,28,36,35,38,29,32,28,32,36,37,36,33,34,21,26,21,24,17,23,22,29,26,29,31,37,32,30,43,30,29,40,31,24,35,NA,38,NA,36,NA,NA,NA,NA,NA,53,NA,NA,64
Delaware,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,89,86,72,80,55,78,63,62,77,75,79,78,73,67,57,68,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,7,14,17,17,15,11,16,20,22,28,17,18,28,26,19,23,21,21,17,32,22,21,22,26,34,33,34,27,26,26,31,31,34,34,24,28,29,22,38,NA,32,NA,31,NA,NA,NA,NA,NA,39,NA,NA,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,36,41,47,56,51,52,57,52,48,63,58,55,55,55,54,64,51,51,44,42,49,50,37,45,49,41,44,35,39,41,38,34,44,36,51,36,33,36,46,NA,40,NA,32,NA,NA,NA,NA,NA,47,NA,NA,50
Iowa,5,8,16,14,21,12,13,11,14,16,11,11,9,15,13,12,8,9,9,11,18,11,10,17,12,18,14,10,14,13,12,12,14,25,14,22,22,10,12,NA,15,NA,20,NA,NA,NA,NA,NA,36,NA,NA,32
Kansas,8,4,3,17,10,14,11,2,9,19,4,NA,8,11,8,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,*,NA,NA,NA,15,11,15,NR,NA,8,NA,22,NA,8,NA,NA,NA,NA,NA,14,NA,NA,20
Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,67,66,74,NA,NA,NA,NA,46,56,45,47,55,46,49,42,32,NA,46,NA,41,63,26,39,NA,38,NA,NA,NA,41,NA,NA,NA,NA,NA,54,NA,NA,58
Louisiana,NA,NA,NA,22,20,23,24,27,28,27,20,23,21,25,34,33,37,49,32,28,30,31,22,15,30,37,27,8,18,12,NA,16,34,23,26,11,26,NA,18,NA,NA,NA,16,NA,NA,NA,NA,NA,24,NA,NA,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,75,65,72,NA,67,NA,NA,NA,56,NA,NA,NA,NA,NA,69,NA,NA,49
Minnesota,4,12,11,14,23,21,22,10,12,24,21,10,12,11,14,21,15,14,11,20,25,19,10,12,20,16,13,10,14,14,14,17,10,22,9,13,24,12,10,NA,16,NA,16,NA,NA,NA,NA,NA,27,NA,NA,29
Mississippi,3,5,13,24,28,26,25,30,31,19,32,29,41,40,43,42,35,42,34,28,41,32,23,24,21,34,23,18,18,21,NA,22,17,26,16,22,20,NA,20,NA,NA,NA,19,NA,NA,NA,NA,NA,26,NA,NA,33
Missouri,7,11,19,20,18,18,17,17,27,25,14,13,12,16,29,30,29,21,24,18,14,23,23,26,27,23,15,21,22,21,23,20,28,35,53,23,27,22,36,NA,38,NA,22,NA,NA,NA,NA,NA,46,NA,NA,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,6,NA,13,19,6,6,13,7,16,15,6,6,7,8,8,11,13,5,15,13,9,10,7,6,8,13,5,8,8,5,12,11,11,16,8,16,15,10,11,NA,7,NA,12,NA,NA,NA,NA,NA,14,NA,NA,15
North Carolina,NA,NA,71,63,67,71,58,70,67,69,62,63,56,56,76,73,66,61,53,65,56,56,57,57,72,63,66,59,67,61,NA,46,NA,77,39,71,47,NA,41,NA,NA,NA,44,NA,NA,NA,NA,NA,61,NA,NA,64
North Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,11,NA,3,NA,NA,NA,NA,NA,14,NA,NA,14
Ohio,20,26,32,41,34,46,46,42,54,48,54,47,50,52,40,57,51,47,38,40,45,58,55,48,46,50,47,48,44,49,48,37,36,60,42,47,47,41,56,NA,43,NA,40,NA,NA,NA,NA,NA,58,NA,NA,49
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,NA,NA,72,66,79,81,84,80,85,82,80,78,73,79,NA,86,81,84,59,71,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,4,NA,NA,NA,18,11,19,12,NA,15,NA,8,NA,8,NA,NA,NA,NA,NA,22,NA,NA,27
Tennessee,NA,NA,46,42,45,48,51,49,54,59,57,53,70,66,84,67,73,70,63,67,63,66,48,48,55,51,51,53,56,47,NA,36,53,52,39,48,31,NA,57,NA,NA,NA,63,NA,NA,NA,NA,NA,72,NA,NA,70
Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,39,NA,NA,NA,NA,NA,56,NA,NA,79
Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,40,NA,48,NA,NA,NA,55,NA,NA,NA,NA,NA,75,NA,NA,71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. average 1/,12,17,24,27,27,27,28,27,31,32,28,26,30,34,36,39,36,35,29,32,32,30,31,28,31,32,29,23,25,25,25,25,27,33,27,28,27,NA,29,NA,23,NA,25,NA,NA,NA,NA,NA,37,NA,NA,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = Not available. Source data cover selected States in selected years; NA reflects State/crop/nutrient instances with no coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/  U.S. average is average of State's percents of acres receiving fertilizer, weighted by State's planted acres receiving fertilizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Taylor (1964-93), NASS' Agricultural Chemical Usage (1994-2012).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
