"Table 26. Potash used on soybeans, rate per fertilized acre receiving potash, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pounds/acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,72,61,67,66,60,61,56,57,57,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,39,42,38,42,42,42,49,47,48,50,52,50,56,54,57,52,56,51,49,52,48,55,58,62,62,57,67,56,71,68,64,63,60,66,74,66,71,77,63,NA,81,NA,85,NA,NA,NA,NA,NA,88,NA,NA,82
Delaware,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,69,77,76,78,67,79,68,63,64,68,76,76,69,90,76,66,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,42,58,72,66,73,71,74,48,63,69,73,56,79,67,85,92,97,113,96,96,99,93,88,105,101,85,96,91,86,90,97,110,99,103,124,103,95,105,105,NA,164,NA,94,NA,NA,NA,NA,NA,109,NA,NA,114
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,29,30,33,34,31,48,43,42,51,60,60,55,52,52,59,69,75,76,87,67,67,99,84,66,78,81,90,79,84,91,85,108,102,108,88,110,112,109,104,NA,150,NA,98,NA,NA,NA,NA,NA,93,NA,NA,113
Iowa,28,29,19,24,34,53,49,45,35,48,44,34,59,49,39,52,61,65,64,49,69,59,62,55,65,68,56,73,72,73,56,64,76,80,52,72,59,66,127,NA,103,NA,85,NA,NA,NA,NA,NA,79,NA,NA,84
Kansas,5,20,20,17,24,32,54,24,31,21,16,NA,26,46,28,26,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,30,NA,NA,NA,NA,53,30,18,NA,NA,26,NA,52,NA,35,NA,NA,NA,NA,NA,43,NA,NA,29
Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,63,64,59,NA,NA,NA,NA,75,70,71,80,76,84,76,87,75,NA,75,NA,112,96,79,80,NA,95,NA,NA,NA,78,NA,NA,NA,NA,NA,81,NA,NA,79
Louisiana,NA,NA,NA,51,40,48,53,61,53,58,53,57,53,60,54,58,66,68,60,68,67,73,62,78,62,60,55,57,54,56,NA,57,70,65,63,60,65,NA,54,NA,NA,NA,67,NA,NA,NA,NA,NA,65,NA,NA,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,70,87,87,NA,87,NA,NA,NA,87,NA,NA,NA,NA,NA,78,NA,NA,85
Minnesota,73,26,23,27,40,35,82,38,62,39,39,53,64,56,36,56,48,72,52,56,63,62,42,51,51,51,62,53,47,62,66,75,69,93,56,58,69,48,52,NA,76,NA,49,NA,NA,NA,NA,NA,54,NA,NA,60
