"Table 27. Percentage of wheat acreage receiving nitrogen fertilizer, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,90,93,100,97,100,100,100,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,91,82,86,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Colorado,9,7,1,8,13,13,6,6,10,9,8,16,18,9,11,10,14,25,35,23,39,56,64,66,62,64,64,54,63,67,67,62,77,68,78,NA,87,NA,64,NA,59,NA,54,NA,NA,54,NA,NA,72,NA,NA,79,,,
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Idaho,46,41,40,48,42,50,56,59,71,71,72,65,79,77,81,84,80,87,85,93,88,89,88,92,90,90,NA,78,91,95,91,94,97,98,97,NA,90,NA,NA,NA,91,NA,94,NA,NA,99,NA,NA,NA,NA,NA,96,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,92,85,85,88,88,85,92,99,93,65,96,87,89,95,92,93,95,94,87,82,89,92,87,97,98,98,100,96,98,99,97,94,NA,91,98,NA,98,NA,96,NA,98,NA,93,NA,NA,99,NA,NA,88,NA,NA,90,,,
Indiana,96,99,99,95,97,83,91,99,97,99,99,100,99,96,86,97,99,100,94,95,84,91,77,100,96,95,NA,97,98,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Kansas,39,40,50,51,59,50,51,48,60,66,68,68,73,71,63,70,76,76,75,82,84,81,79,86,89,87,88,89,87,87,89,90,94,78,92,NA,94,NA,91,NA,90,NA,88,NA,NA,94,NA,NA,94,NA,NA,94,,,
Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Louisiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,95,99,99,100,97,98,99,96,91,100,97,98,98,98,96,94,98,100,98,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,98,NA,NA,92,NA,NA,NA,NA,NA,NA,,,
Minnesota,76,78,64,86,88,90,86,87,96,91,92,90,95,91,98,96,93,96,NA,95,95,94,99,88,100,99,97,96,96,94,98,95,98,98,100,NA,94,NA,89,NA,98,NA,99,NA,NA,94,NA,NA,98,NA,NA,95,,,
Mississippi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Missouri,95,95,92,93,92,93,90,94,91,81,99,95,96,93,96,84,95,95,94,93,87,91,80,96,99,96,96,99,96,96,98,88,NA,92,98,NA,96,NA,97,NA,97,NA,97,NA,NA,91,NA,NA,99,NA,NA,92,,,
Montana,6,17,14,28,32,32,30,37,43,38,37,43,47,47,45,56,45,47,63,59,64,65,59,58,69,59,63,60,68,76,79,81,83,83,69,NA,88,NA,70,NA,85,NA,87,NA,NA,91,NA,NA,93,NA,NA,97,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,
Nebraska,25,25,26,39,43,48,43,44,45,51,72,55,58,56,46,57,57,62,56,59,58,81,70,70,73,76,79,80,77,75,81,80,86,92,85,NA,90,NA,79,NA,73,NA,75,NA,NA,84,NA,NA,83,NA,NA,83,,,
North Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,,,
North Dakota,42,43,41,48,52,65,69,63,68,73,63,57,65,51,58,65,49,57,NA,71,72,72,81,80,75,73,66,74,83,90,89,89,91,98,97,NA,93,NA,95,NA,97,NA,98,NA,NA,97,NA,NA,98,NA,NA,99,,,
Ohio,97,100,99,99,95,98,99,100,98,99,97,100,97,99,94,97,99,100,84,99,94,92,99,93,100,95,97,99,100,99,99,100,NA,100,100,NA,94,NA,98,NA,100,NA,98,NA,NA,98,NA,NA,89,NA,NA,88,,,
Oklahoma,58,60,60,52,58,57,70,70,63,65,65,65,82,73,62,79,89,84,81,70,81,83,81,89,86,95,91,92,94,96,95,96,75,90,95,NA,97,NA,92,NA,92,NA,89,NA,NA,95,NA,NA,85,NA,NA,94,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,94,86,92,59,78,54,81,83,89,89,82,87,81,84,72,88,90,90,95,95,96,95,96,96,99,97,NA,98,97,93,99,98,100,100,99,NA,99,NA,NA,NA,95,NA,95,NA,NA,97,NA,NA,100,NA,NA,97,,,
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
South Dakota,6,7,16,25,23,33,32,41,31,39,42,29,53,24,21,19,25,44,NA,43,47,62,68,61,73,44,51,54,65,66,69,72,78,86,88,NA,93,NA,NA,NA,91,NA,86,NA,NA,89,NA,NA,90,NA,NA,99,,,
Texas,39,44,46,50,41,34,51,47,46,42,65,37,59,44,49,32,48,57,55,54,71,62,43,69,70,72,66,72,69,77,70,73,78,78,75,NA,55,NA,62,NA,64,NA,44,NA,NA,47,NA,NA,65,NA,NA,67,,,
Washington,81,70,77,88,94,82,92,90,92,98,87,97,93,99,96,96,99,99,97,100,98,96,96,98,100,98,98,98,97,98,99,96,100,98,100,NA,100,NA,99,NA,98,NA,99,NA,NA,100,NA,NA,97,NA,NA,99,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. average 1/,47,48,49,53,56,56,61,57,62,63,66,63,71,64,61,65,67,70,70,72,76,77,79,80,83,81,79,80,83,86,87,87,87,87,89,89,89,88,86,86,87,NA,85,NA,NA,86,NA,NA,88,NA,NA,91,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = Not available. Source data cover selected States in selected years; NA reflects State/crop/nutrient instances with no coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/  U.S. average is average of State's percent of acres receiving fertilizer, weighted by State's planted acres of winter, durum and spring wheat receiving fertilizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Taylor (1964-93), NASS' Agricultural Chemical Usage (1994-2012).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
