"Table 28. Nitrogen used on wheat, rate per fertilized acre receiving nitrogen, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pounds/acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,112,103,94,99,100,96,101,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,121,106,98,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Colorado,13,48,22,54,31,18,43,32,61,54,35,39,56,58,40,43,52,48,36,44,41,49,42,37,43,45,41,48,39,50,42,48,48,41,36,51,NA,39,NA,52,38,NA,31,NA,NA,36,NA,NA,35,NA,NA,40,,,
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Idaho,41,56,65,77,67,60,66,76,60,71,69,96,74,84,72,76,81,89,93,89,108,89,89,92,100,95,NA,100,93,102,96,113,113,115,124,117,NA,108,NA,NA,129,NA,121,NA,NA,115,NA,NA,120,NA,NA,122,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,32,32,43,44,41,42,46,59,56,60,57,50,57,54,57,55,69,65,82,76,74,84,72,88,98,90,85,87,86,87,105,92,92,NA,99,98,NA,86,NA,95,115,NA,95,NA,NA,100,NA,NA,108,NA,NA,79,,,
Indiana,39,40,45,46,50,48,48,52,53,58,53,59,61,63,58,63,64,84,80,68,87,74,77,73,72,76,NA,80,88,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Kansas,26,27,35,36,42,50,46,47,51,54,49,47,52,49,50,50,56,54,56,52,57,57,59,54,53,53,49,58,58,55,59,56,57,56,59,61,NA,57,NA,66,87,NA,57,NA,NA,54,NA,NA,51,NA,NA,60,,,
Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Louisiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,35,28,33,26,35,31,37,41,36,40,38,37,49,51,52,48,51,64,54,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,89,NA,NA,82,NA,NA,NA,NA,NA,NA,,,
Minnesota,16,15,18,24,34,32,36,24,58,54,52,54,62,63,68,73,69,57,NA,72,60,67,76,83,103,72,83,86,86,98,93,83,83,91,87,85,NA,90,NA,72,108,NA,88,NA,NA,99,NA,NA,115,NA,NA,NA,,,
