"Table 29. Percentage of wheat acreage receiving phosphate fertilizer, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,41,33,38,38,31,36,36,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,54,17,27,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Colorado,NA,4,NA,2,1,NA,NA,NA,NA,4.5,NA,NA,4,NA,NA,2,2,4,1,1,9,8,11,10,13,13,18,22,15,14,24,23,38,39,33,NA,14,NA,31,NA,31,NA,36,NA,NA,33,NA,NA,40,NA,NA,52,,,
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Idaho,8,16,7,7,8,13,19,5,13,18,19,22,21,13,16,22,21,29,34,48,28,47,51,48,54,47,NA,51,51,62,57,69,48,62,73,NA,54,NA,NA,NA,62,NA,62,NA,NA,64,NA,NA,68,NA,NA,65,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,89,84,80,85,89,86,86,95,86,85,93,83,75,87,76,88,95,80,78,82,84,84,77,79,92,78,90,94,86,81,86,84,NA,69,82,NA,82,NA,76,NA,85,NA,76,NA,NA,80,NA,NA,78,NA,NA,72,,,
Indiana,95,98,96,92,97,79,95,97,96,99,99,85,99,95,84,90,97,94,91,91,85,83,90,85,85,89,NA,87,83,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Kansas,32,31,38,41,45,39,37,31,40,42,39,42,47,41,30,38,40,44,40,49,48,43,42,49,50,52,44,53,50,51,49,61,65,56,74,NA,65,NA,64,NA,62,NA,66,NA,NA,62,NA,NA,65,NA,NA,63,,,
Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Louisiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,96,100,100,100,97,96,96,84,92,100,95,89,96,96,91,91,100,100,96,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,74,NA,NA,67,NA,NA,NA,NA,NA,NA,,,
Minnesota,74,80,67,75,79,90,86,87,96,88,87,82,93,86,93,92,79,87,NA,80,91,89,90,78,93,89,87,92,90,83,90,90,87,91,97,NA,85,NA,83,NA,91,NA,97,NA,NA,88,NA,NA,88,NA,NA,87,,,
Mississippi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Missouri,76,70,69,64,66,74,67,63,65,60,71,70,85,75,76,77,82,83,81,73,67,78,70,53,77,76,78,79,82,77,77,65,NA,81,86,NA,76,NA,75,NA,84,NA,73,NA,NA,75,NA,NA,85,NA,NA,80,,,
Montana,19,29,28,41,40,39,39,40,45,37,37,41,45,43,41,55,42,44,62,58,63,65,53,48,67,52,59,59,62,72,68,75,79,69,65,NA,82,NA,59,NA,75,NA,82,NA,NA,83,NA,NA,86,NA,NA,88,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,7,7,7,18,23,17,17,17,19,15,23,26,25,24,13,15,22,29,21,25,23,34,21,16,33,13,22,30,38,39,47,42,51,74,59,NA,68,NA,45,NA,42,NA,57,NA,NA,65,NA,NA,64,NA,NA,58,,,
North Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,,,
North Dakota,51,56,60,66,67,72,73,64,71,74,63,54,58,48,55,55,40,47,NA,60,63,64,70,70,67,61,60,62,73,83,78,79,77,88,85,NA,78,NA,77,NA,82,NA,85,NA,NA,85,NA,NA,84,NA,NA,95,,,
Ohio,96,100,98,99,98,98,99,100,98,97,97,99,95,97,94,93,99,96,82,91,91,86,85,89,96,92,95,91,94,95,91,93,NA,92,93,NA,81,NA,89,NA,95,NA,84,NA,NA,72,NA,NA,83,NA,NA,74,,,
Oklahoma,46,44,36,46,34,34,41,40,40,46,39,41,54,48,32,48,56,53,49,36,48,53,43,47,44,59,62,45,46,50,59,58,45,47,64,NA,62,NA,59,NA,62,NA,65,NA,NA,55,NA,NA,43,NA,NA,65,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,18,3,8,4,10,8,7,6,9,6,20,16,24,20,10,15,18,25,15,24,21,14,20,14,22,12,NA,11,19,13,11,17,10,15,9,NA,11,NA,NA,NA,14,NA,12,NA,NA,26,NA,NA,24,NA,NA,15,,,
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
South Dakota,4,6,11,23,24,30,29,39,28,37,41,26,40,17,19,18,21,29,NA,41,45,51,44,49,57,35,36,46,54,57,51,55,65,66,77,NA,73,NA,NA,NA,67,NA,70,NA,NA,69,NA,NA,76,NA,NA,79,,,
Texas,12,20,23,25,24,19,22,14,24,17,32,17,24,27,15,15,30,35,36,33,24,30,26,57,45,32,35,37,31,32,34,36,31,36,50,NA,35,NA,28,NA,35,NA,29,NA,NA,29,NA,NA,32,NA,NA,42,,,
Washington,5,4,5,6,6,15,3,10,6,10,14,15,13,19,9,10,12,8,15,18,24,27,30,37,26,41,33,28,40,38,29,30,25,34,30,NA,30,NA,39,NA,34,NA,41,NA,NA,36,NA,NA,45,NA,NA,59,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. average 1/,36,38,38,43,43,44,44,41,44,45,46,43,50,44,38,44,43,47,45,48,49,48,48,50,53,53,52,54,56,60,59,63,60,62,67,65,62,61,60,59,62,NA,65,NA,NA,62,NA,NA,63,NA,NA,71,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = Not available. Source data cover selected States in selected years; NA reflects State/crop/nutrient instances with no coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/  U.S. average is average of State's percent of acres receiving fertilizer, weighted by State's planted acres of winter, durum and spring wheat receiving fertilizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Taylor (1964-93), NASS' Agricultural Chemical Usage (1994-2012).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
