"Table 3. U.S. consumption of single, multiple, and secondary and micro nutrients ",,,,,,,,,
,,,,,,,,,
,Gross tons 1/,,,, ,Share of total,,,
Year ending June 30,  Multiple-nutrient material 2/,Single-nutrient material,    Secondary and micro-nutrients,Total,,  Multiple-nutrient material, Single nutrient materials,Secondary and mico-nutrients,
,,,,,,,,,
,"---------------- 1,000 material short tons--------------------",,,, ,--------------------- Percent ------------------------,,,
,,,,,,,,,
1960,"15,650 ","7,850 ","1,378 ","24,878 ",,63 ,32 ,6 ,
1961,"15,735 ","8,639 ","1,194 ","25,568 ",,62 ,34 ,5 ,
1962,"16,205 ","9,100 ","1,310 ","26,615 ",,61 ,34 ,5 ,
1963,"17,157 ","10,299 ","1,459 ","28,915 ",,59 ,36 ,5 ,
1964,"18,093 ","11,113 ","1,475 ","30,681 ",,59 ,36 ,5 ,
1965,"18,559 ","11,756 ","1,521 ","31,836 ",,58 ,37 ,5 ,
1966,"19,659 ","13,412 ","1,461 ","34,532 ",,57 ,39 ,4 ,
1967,"21,132 ","14,552 ","1,397 ","37,081 ",,57 ,39 ,4 ,
1968,"21,294 ","15,832 ","1,617 ","38,743 ",,55 ,41 ,4 ,
1969,"21,234 ","16,380 ","1,334 ","38,948 ",,55 ,42 ,3 ,
1970,"20,961 ","17,331 ","1,297 ","39,589 ",,53 ,44 ,3 ,
1971,"21,513 ","18,389 ","1,216 ","41,118 ",,52 ,45 ,3 ,
1972,"21,511 ","18,385 ","1,310 ","41,206 ",,52 ,45 ,3 ,
1973,"22,547 ","19,275 ","1,466 ","43,288 ",,52 ,45 ,3 ,
1974,"24,067 ","20,897 ","2,130 ","47,094 ",,51 ,44 ,5 ,
1975,"20,647 ","19,959 ","1,878 ","42,484 ",,49 ,47 ,4 ,
1976,"22,958 ","23,935 ","2,296 ","49,189 ",,47 ,49 ,5 ,
1977,"24,099 ","24,999 ","2,525 ","51,623 ",,47 ,48 ,5 ,
1978,"22,110 ","23,511 ","1,877 ","47,498 ",,47 ,49 ,4 ,
1979,"23,742 ","25,600 ","2,139 ","51,481 ",,46 ,50 ,4 ,
1980,"23,270 ","27,221 ","2,296 ","52,787 ",,44 ,52 ,4 ,
1981,"23,525 ","28,236 ","2,227 ","53,988 ",,44 ,52 ,4 ,
1982,"20,857 ","26,054 ","1,758 ","48,669 ",,43 ,54 ,4 ,
1983,"18,352 ","21,851 ","1,610 ","41,813 ",,44 ,52 ,4 ,
1984,"21,174 ","26,928 ","1,954 ","50,056 ",,42 ,54 ,4 ,
1985,"20,711 ","26,967 ","1,971 ","49,649 ",,42 ,54 ,4 ,
1986,"17,790 ","24,662 ","1,620 ","44,072 ",,40 ,56 ,4 ,
