"Table 30. Phosphate used on wheat, rate per fertilized acre receiving phosphate, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pounds/acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,39,42,37,45,41,44,44,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,42,42,55,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Colorado,NA,30,NA,17,24,NA,NA,NA,NA,19,NA,NA,35,NA,NA,53,25,23,28,18,20,26,26,25,17,32,22,31,16,41,21,27,22,17,24,NA,16,NA,36,NA,23,NA,17,NA,NA,18,NA,NA,23,NA,NA,20,,,
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Idaho,17,44,36,35,41,34,35,29,46,34,40,43,55,34,34,49,44,48,33,33,36,33,39,35,36,41,NA,35,35,37,35,41,54,36,39,NA,29,NA,NA,NA,40,NA,30,NA,NA,29,NA,NA,29,NA,NA,28,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,42,41,52,57,56,56,52,64,72,55,66,54,66,65,69,68,81,70,82,76,75,64,80,76,79,72,74,65,73,70,80,76,NA,78,77,NA,71,NA,75,NA,94,NA,71,NA,NA,70,NA,NA,80,NA,NA,71,,,
Indiana,49,49,51,53,52,50,56,56,57,63,56,54,57,61,58,62,54,69,60,61,63,64,49,60,58,63,NA,58,62,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Kansas,30,30,29,37,35,38,36,38,36,41,34,32,35,34,30,35,34,34,35,33,35,33,33,33,34,32,29,33,33,30,32,32,28,30,31,NA,28,NA,31,NA,45,NA,31,NA,NA,29,NA,NA,30,NA,NA,30,,,
Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Louisiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,53,53,53,56,55,58,56,61,60,58,57,52,57,57,53,62,55,58,57,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,46,NA,NA,36,NA,NA,NA,NA,NA,NA,,,
Minnesota,26,31,27,29,35,36,39,31,38,33,39,38,36,36,39,35,32,30,NA,39,33,32,40,33,41,37,42,36,34,39,37,37,37,35,35,NA,30,NA,37,NA,49,NA,39,NA,NA,41,NA,NA,41,NA,NA,38,,,
