"Table 31. Percentage of wheat acreage receiving potash fertilizer, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,42,30,35,38,31,36,36,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,1,3,NA,1,NA,2,NA,NA,2,6,4,5,NA,NA,NA,4,NA,NA,NA,0,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,6,,,
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,,,
Idaho,NA,2,NA,NA,NA,NA,2,NA,1,2,1,5,2,2,3,4,1,1,8,7,6,19,8,6,6,7,NA,3,7,8,7,8,15,11,27,NA,13,NA,NA,NA,28,NA,20,NA,NA,21,NA,NA,28,NA,NA,31,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,82,74,74,77,78,77,85,86,77,83,69,79,62,76,51,69,82,70,72,77,78,66,65,76,80,66,79,83,71,68,79,71,NA,77,70,NA,78,NA,74,NA,77,NA,76,NA,NA,73,NA,NA,81,NA,NA,58,,,
Indiana,93,98,94,92,97,79,95,97,97,99,99,99,95,95,84,90,97,96,89,88,85,82,89,82,85,88,NA,86,81,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Kansas,4,3,4,5,5,5,5,8,6,8,10,11,11,8,6,9,10,12,8,11,9,10,6,2,4,6,9,10,8,8,6,7,NA,8,13,NA,6,NA,8,NA,6,NA,8,NA,NA,7,NA,NA,8,NA,NA,9,,,
Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Louisiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,95,100,100,100,97,96,99,84,91,100,95,89,96,96,91,91,98,100,98,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,85,NA,NA,46,NA,NA,NA,NA,NA,NA,,,
Minnesota,31,34,31,50,56,59,56,65,59,70,69,59,65,71,70,65,63,70,NA,63,72,68,62,64,67,65,70,66,66,61,60,72,48,73,64,NA,73,NA,68,NA,54,NA,72,NA,NA,56,NA,NA,58,NA,NA,69,,,
Missisippi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Missouri,76,70,70,64,66,74,67,63,64,55,73,69,85,75,76,78,84,85,82,73,69,78,75,51,83,70,83,83,82,75,81,67,NA,70,86,NA,84,NA,74,NA,86,NA,74,NA,NA,80,NA,NA,82,NA,NA,80,,,
Montana,NA,1,NA,NA,1,NA,2,2,2,4,2,2,5,3,5,4,5,3,7,6,7,11,5,7,6,10,14,9,13,13,17,20,10,17,24,NA,38,NA,25,NA,15,NA,24,NA,NA,19,NA,NA,18,NA,NA,29,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,NA,1,2,2,3,3,3,2,1,7,4,8,7,4,2,2,2,4,5,5,5,6,4,NA,2,NA,NA,4,7,12,8,6,NA,NA,12,NA,NA,NA,4,NA,3,NA,4,NA,NA,6,NA,NA,7,NA,NA,3,,,
North Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,,,
North Dakota,3,4,3,5,4,8,6,5,8,10,11,11,9,7,10,10,5,7,NA,11,5,9,7,11,9,9,16,15,15,17,14,13,20,20,15,NA,10,NA,16,NA,22,NA,19,NA,NA,16,NA,NA,25,NA,NA,40,,,
Ohio,96,100,98,99,98,98,99,100,98,97,97,99,95,97,93,93,99,95,82,91,92,80,87,87,96,90,90,93,91,95,96,92,NA,98,94,NA,82,NA,88,NA,90,NA,82,NA,NA,73,NA,NA,80,NA,NA,70,,,
Oklahoma,15,10,12,19,13,10,16,10,9,16,15,19,19,18,13,13,14,16,17,12,13,15,9,8,13,12,10,7,8,10,10,12,11,7,15,NA,5,NA,4,NA,13,NA,8,NA,NA,13,NA,NA,8,NA,NA,12,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,12,NA,4,2,2,NA,1,1,NA,NA,6,7,5,5,3,3,4,10,8,19,6,4,12,9,14,6,NA,6,10,8,5,10,5,NA,1,NA,7,NA,NA,NA,7,NA,10,NA,NA,11,NA,NA,11,NA,NA,13,,,
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
South Dakota,NA,NA,NA,NA,2,NA,NA,4,5,6,7,9,4,1,6,4,3,3,NA,6,4,8,6,NA,3,6,5,6,4,7,9,5,NA,NA,11,NA,12,NA,NA,NA,18,NA,19,NA,NA,17,NA,NA,9,NA,NA,18,,,
Texas,3,2,1,2,3,2,5,5,4,12,13,9,10,6,2,6,5,7,11,11,5,8,7,59,9,8,5,12,6,5,8,9,NA,16,22,NA,14,NA,7,NA,9,NA,8,NA,NA,11,NA,NA,7,NA,NA,10,,,
Washington,2,NA,NA,NA,2,5,NA,3,NA,NA,NA,NA,1,1,1,2,1,1,2,6,1,5,4,3,6,2,NA,9,7,5,4,10,10,12,10,NA,6,NA,11,NA,4,NA,10,NA,NA,7,NA,NA,8,NA,NA,14,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. average 1/,16,15,15,17,17,17,20,14,15,17,20,21,21,19,16,18,18,20,18,20,17,16,19,15,18,18,19,20,18,17,17,18,17,17,22,20,19,18,18,17,18,NA,19,NA,NA,18,NA,NA,16,NA,NA,27,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = Not available. Source data cover selected States in selected years; NA reflects State/crop/nutrient instances with no coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/  U.S. average is average of State's percent of acres receiving fertilizer, weighted by State's planted acres of winter, durum and spring wheat receiving fertilizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Taylor (1964-93), NASS' Agricultural Chemical Usage (1994-2012).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
