"Table 32. Potash used on wheat, rate per fertilized acre receiving potash, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pounds/acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,45,50,43,54,55,53,58,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Colorado,NA,12,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,3,NA,NA,NA,NA,23,NA,9,6,NA,10,NA,NA,NA,NA,NA,10,22,6,NA,NA,NA,6,NA,NA,NA,NA,NA,25,NA,25,NA,NA,NA,NA,NA,18,NA,NA,6,,,
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Idaho,NA,9,NA,7,NA,NA,11,NA,12,12,33,10,31,35,10,32,38,2,22,27,24,23,27,24,21,32,NA,21,28,19,40,17,39,45,27,NA,27,NA,NA,NA,30,NA,22,NA,NA,31,NA,NA,23,NA,NA,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,30,37,40,54,45,51,41,53,56,60,57,52,66,62,69,75,64,76,86,85,86,76,92,94,95,79,91,83,85,83,95,91,NA,98,108,NA,89,NA,97,NA,130,NA,97,NA,NA,92,NA,NA,101,NA,NA,105,,,
Indiana,48,46,50,49,49,47,55,53,52,63,62,63,59,65,53,64,57,84,66,69,73,63,60,75,76,65,NA,69,67,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Kansas,11,11,13,14,16,24,14,18,15,22,19,19,24,21,18,25,31,30,27,41,28,24,31,14,31,29,21,34,32,19,34,34,NA,22,36,NA,19,NA,38,NA,37,NA,36,NA,NA,27,NA,NA,31,NA,NA,42,,,
Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Louisiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,,NA,,,NA,,,NA,NA,NA,NA,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,44,49,49,50,52,51,52,52,50,54,49,49,56,55,53,63,60,58,59,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,61,NA,NA,23,NA,NA,NA,NA,NA,NA,,,
Minnesota,19,18,9,19,19,20,22,17,21,17,28,24,22,23,29,26,21,25,NA,35,28,29,32,27,38,28,34,31,39,28,27,27,28,41,30,NA,20,NA,33,NA,38,NA,26,NA,NA,36,NA,NA,23,NA,NA,34,,,
