Year ending June 30,  Nitrogen (N),Phosphate (P2O5),Potash (K2O),   Total, Nitrogen%, Phosphate %,Potash%
1960,2738,2572,2153,7464,37,34,29
1961,3031,2645,2169,7844,39,34,28
1962,3370,2807,2271,8448,40,33,27
1963,3929,3073,2503,9505,41,32,26
1964,4353,3378,2730,10460,42,32,26
1965,4639,3512,2835,10985,42,32,26
1966,5326,3897,3221,12445,43,31,26
1967,6027,4305,3642,13974,43,31,26
1968,6788,4453,3793,15034,45,30,25
1969,6958,4666,3892,15515,45,30,25
1970,7459,4574,4036,16068,46,28,25
1971,8134,4803,4231,17168,47,28,25
1972,8022,4864,4327,17213,47,28,25
1973,8295,5085,4649,18029,46,28,26
1974,9157,5099,5083,19338,47,26,26
1975,8601,4507,4453,17561,49,26,25
1976,10412,5228,5210,20849,50,25,25
1977,10647,5630,5834,22111,48,25,26
1978,9965,5096,5526,20587,48,25,27
1979,10715,5606,6245,22565,47,25,28
1980,11407,5432,6245,23083,49,24,27
1981,11924,5434,6320,23678,50,23,27
1982,10983,4814,5631,21428,51,22,26
1983,9127,4138,4831,18096,50,23,27
1984,11092,4901,5797,21790,51,22,27
1985,11493,4658,5553,21703,53,21,26
1986,10424,4178,5053,19655,53,21,26
1987,10210,4008,4837,19054,54,21,25
1988,10512,4129,4973,19613,54,21,25
1989,10593,4117,4838,19548,54,21,25
1990,11076,4345,5203,20624,54,21,25
1991,11287,4201,5001,20489,55,21,24
1992,11446,4218,5042,20706,55,20,24
1993,11393,4436,5141,20969,54,21,25
1994,12643,4521,5268,22432,56,20,23
1995,11719,4425,5128,21272,55,21,24
1996,12303,4527,5258,22088,56,20,24
1997,12352,4612,5425,22388,55,21,24
1998,12313,4615,5301,22229,55,21,24
1999,12452,4254,4954,21660,57,20,23
2000,12334,4314,4972,21619,57,20,23
2001,11535,4257,4926,20718,56,21,24
2002,12009,4630,4982,21621,56,21,23
2003,12092,4291,4950,21333,57,20,23
2004,13028,4825,5520,23372,56,21,24
2005,12337,4638,5173,22148,56,21,23
2006,12044,4479,4723,21245,57,21,22
2007,13194,4572,5133,22899,58,20,22
2008,12561,4247,4660,21468,59,20,22
2009,11461,3138,3081,17679,65,18,17
2010,12233,4161,4460,20854,59,20,21
2011,12814,4295,4570,21680,59,20,21
2012,13483,4349,4614,22446,60,19,21
2013,13502,4698,4849,23050,59,20,21
2014,13295,4695,5254,23244,57,20,23
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
